CUSTOMER_IDENTIFIER,DATE_LAST_UPDATED,SEX_CODE,INCOME_GROUP_CODE,NUMBER_OF_ACCOUNTS,OCCUPATIONAL_STATUS_CODE,AGE
ID_9b60f3e477075fa6539a65c36ed9725dd344313fffedb1de5ff140e0150d954d8f9f4c5c68cadf3cb173f2e2a1686018ca7caacddb9489919913aee78b0b4c6a,2022-08,1,1,9,1,32
ID_ae3a4d9e875fbe09023d7e26469e5a7d202e350b7f7895ca149e53af957895a82c8e0f2478c8fb842b65dd2fd5c8036392854a24c36850baaf9556128f05983a,2022-09,0,16,8,1,40
ID_b8eefab04740301aa11f7de7fb28b65df63a6d644e0fdd513b8cdcca8b45bc64370308cd70f926a23c8641a06b4507d11c834676246575a252738c5ac53b6f6e,2022-08,0,11,18,1,40
ID_bedf759f0735b914986656ecf25be74bc2e19a720e81e5cfa4339454542c7c9a0263a23bd3f6524fa484959f9aba6a59d2ecda7bc7d35940d1b3df4a00f9be91,2022-06,0,12,16,7,52
ID_cb6285ee84cf622ed1b397d93dd9f48fc670cdd26468d40e782ba7ba8966e057c4d2d7a83caa38165f3b95a72cd6fb4e783b6bca6350db32dfac55dd031fc577,2022-09,0,11,7,1,38
ID_cbf370106f43b21d1300d9f193cb7335beba909b06f530753f6bc70621f6a698ccf851ff6c92030a980c76b4ae05afc4e011f77a226ad304c430384390ee9830,2022-06,0,10,9,7,63
ID_d381b70513f3b3d8be9df64662fddf0bb112ccc4a2bcebb4acf9af7e397e99bde991ec7081e3c3f28524a1769ad6fe77df33a5f17988c16c7b8ac9aafa8e28a8,2022-06,1,8,4,1,40
ID_e11bb346844a18645ad5229fe9a496712324b0502e3c338dc46fa45a8eb5151113dc6c61900d5f94dd3dfe8737b6b14d0aa229dac050841d8a9c4ccf571da940,2022-09,0,16,11,1,29
ID_eb172c77aee53656acd956684d57c3a9e192199eeeef8207fd6bbeb48eabde220e314cf187deb2e263e8c3eead69872dcefcf6752cb0107294759daf4a6411e1,2022-07,0,15,13,1,32
ID_efcdf1229e2641744d832c936b8e1bf78b4e7231734a57af31926a6d742ea89dec694fdac13c9fa92f4f9cdb7aa9c41bd3ec9106a36716dd9d27d55954ec4a62,2022-09,0,14,11,1,38
ID_f065e0b6ef7034e1db7925fb008a71f6a232ab1c9ac8400e1e99f64d2c07ae1b4d46acac9b730396fd8de705ecb3b291b8ae25f716a01e6cc673af492c94a15a,2022-06,1,8,14,1,40
ID_fa1c792d911ee56196e371160b2284f601bb6f39f6496543458966b6ee94048c18e5621b7b7e32fa32f3fa7ba7b303e2ec762843be7033e1336a699b0ff0199e,2022-06,0,13,4,1,34
ID_fb80e363401fcec19a73cdad5f65edb78c16366c416fd6530d6becd4f654b542b10f5577e85e9bf170ff9932ac7817634cf0eb015e3de908edba7e5abd5f1dbd,2022-08,1,12,14,1,40
ID_04d39596f2763578f8480db41f14156d2183adb5aa5ecf39238c9d31f724159181acae06ef3a9551b523ac8a4b72ff9050163762aede8fe21eaf5f32cb9db314,2022-09,0,15,10,1,37
ID_08a191e81daf0c1d5ddb1343476b38961200a491dd9c420dcee1d4e56e9d24374d8f1a93248a0160452fabdcee4d631c2768fd925f93dcf0fdc95025a3f55b37,2022-08,0,11,6,1,34
ID_09b14923328c73fa631ed2c472807f08633568f96665f52634805cb2db3d7b3c71732150bd1c8bc173d3ee4894964b77c894305717d3b45f04655b26e8250009,2022-08,0,15,12,1,25
ID_17880d01c89552416a2bbbf54b436880602079f1a8a0f49c00b0e8834a797c7ccb383b875ecd0e7c5cf5908325f20efb97ec90de2f4ad4a2214d00a60fe00cfb,2022-07,1,9,11,1,20
ID_1d6848921f9156bd81ca6e19dcdb8a0b5e954dd454f3d4cb955e797a403d19cd33a3a1cd71da8453ec453d208cca5b06dd2ed2a2de07998f3376a2e06630855e,2022-06,0,13,7,1,33
ID_2202c6587be671342e3b3320a0a19b66dc1d5d2805100587f52356ae642cfcf08f6221171973a7e74924ac00504b6c164c56b6000890832e9c21afefd0e2ff6a,2022-07,0,17,9,1,38
ID_224bcb3eed3811902583d2090e91c989f1eef5bd57824e1542591cd29ed6aeec832899ca14925785404c5a4189fe67cfa7819f31454b6b0df0eb7a10aff73a4d,2022-08,0,8,12,1,23
ID_32fcd30bccfe7c65bd6c9873b4f00e6f906c6c449af77fc612e00459168d015b0f3b7dadde0cffe66df9ba71ad264c5c2a91e6830492faf4f18e0788cf8cef51,2022-07,0,17,6,1,54
ID_37eb27f3554ebb4bc0f33431bc2da28eaa240d195cf14adffe1f251f01b0168143de8cbfa539d1bf6b2c98309e53eeccc4305dd74fe2ddfb3ff18b3a1663cefe,2022-07,1,3,6,7,59
ID_3ff5c621bf86647b5a44a1a283f2225aa9c5d98cf2c51bfebf306b5441fa350d3af0af711440c8b488aa4a675997dc2eb6a2e1c4fe08e75c39307546d679d0bd,2022-08,1,10,10,1,21
ID_48b1e54df40e145a368393406fe542c96c5ed844d0bed7aa587dea705ed911d8deb4bdc52b72eb9307070e8dd03fa2e9d52d7bb9a521a504ea402e1c0ce61fa8,2022-09,1,8,5,1,35
ID_5bae63305b2be0dd94b2c76afa4f47f92f2294c52ff7e7e63803af9c4bf7a2569af680e382a8d61acbb31d88200d93edf276d08dfbb4b0dbd875e63189e41e86,2022-04,0,11,6,1,50
ID_5f34c42ae67b0b7895da7d612d5bc596de6ba8bdf61fe01e30e973164f052e1042615ae38e8286044a095d1b2128a30b1778aad766c55255adfaa251ad33fb95,2022-08,1,9,7,1,42
ID_66a7480b1a1a893d78aa2c8ba3f02fcf8e1d77e0456696f2e0429ca5e540920e47eb1919da763727fa141ed7cde143686ecdeaa6fc25fa3b09640f54f5746fc3,2022-08,0,7,7,7,56
ID_66b35cdf0875a98db226235289311bf5e1d8d21af154e52ae50194b1dfeac5b5d7b105f7638f75aa669ab76be3cd08d4e008080a49ce10f2ef9f4c967f2fa21c,2022-09,0,13,13,1,55
ID_677ba0c54821aa37088be1e05c0032fbbeb6203d612fa954ad69d88ab3c2d4da7632140737ff1f93eddf4cc790d441cc280da2ac1a81f5df6b0229280ed84145,1922-09,1,14,7,1,49
ID_67f6331a39d16258f7ff7425d628e67a2f970bab551c090e4337755fba672db0293a0e64ec74bceef6d2e4c9b57033c67735391562ab20fb0a9e47e615d72510,2022-09,0,16,17,1,53
ID_6b649ff6acd7303913102cd8b0cc35b6913e33b27b85d753c20a3be854a3f09547e7055b7f714c3801c401a5ad0daa68b46fe66b03fd5595ad883414e2b489b3,2022-09,0,18,11,2,39
ID_6e8428df798f2f7b99ccef093a4b99d57af2686cd8e5736e102db7671136cf786958a56f7c5a19a8fb0191a1156cbe06b0078fe8abdda9d16a7bcd5319ea626b,2022-09,0,18,11,1,37
ID_8130d133d0b5b6fc8d02f8eec6394e01ddb1a59724b84ff2243191bfed048a383c24293afd4485cb3e22c82873387e68ebcd72a0b6898fdc688730b942e944c6,2022-08,1,6,11,1,49
ID_843f140537fc84045c7d61353c2daac903b711a17fb5fc5cdae7a44a54e165c8b7c7ad41b5a4c6703a50c245c3390768eb6e69080071570cc14337bb31c81310,2022-09,1,12,10,3,44
ID_97ac364734729161bdbf6f96c651b2f8d4dc811448341ab840737a701c50bb7d11665b7189ff15fd760577434074d3fdda31445286730556d51fd1e1eaf4665a,2022-09,0,11,6,1,52
ID_a5deee63cb9de1d74d4f5a56d66ab5bec68c9c47d9c4094b5f3bd5f83d3987dcc6a8c73670839fd9f126a8be665060b4513491d9669aaffd3256b7ef9a0f3665,2022-09,0,7,4,1,26
ID_b297a7682c55d3a6fb5e7ed3478812d905233c9c240491ca38b476a8af2cb52ed42e06a9357e506378669662bdc2ed42ade8de1a02c0fd1e025bbcfe79cd7935,2022-07,0,14,9,7,60
ID_c787f81781848a773dd56dcbd81f386926d92a4aa911137111a360b2fabd5c90c90bb6ac21aad4be5d9683dd4386bf23f6bbdbe997f2693d122f62ecd4f24bb1,2022-08,0,7,5,1,26
ID_c7aba060f14b8d897cf7156dc31ac235fa507d5535241febcb60f531b1e3266d05547e62766519240d33c195769a7ee5a98892ca8c6c407bf3a774b1854a0a5b,2022-08,1,7,3,2,39
ID_cc2fd6507991def436e2317f146b57f5738e67c4b48e51705dabb34719635870f38c0cf47781cfa674a9d74243a941c157e8cc5924f631131af7afc5419d8188,2022-07,0,5,9,7,58
ID_d83845eeafd00c278538f1b37d2348922d6548fdbc3c0471debf5aee4bcc2c9a8e54681b244e1f398e793a9be80647abd32d75d463b832b1255c1ff552310c43,2022-08,1,4,7,8,50
ID_da6e52a14c755540874a47e1cb10c99ef13a18d08647062359a59390a1107d500d7876c6f1057d90bab823259f6cb6f911f07f88d93d84c8bf39b2081bef0823,2022-09,0,10,6,1,42
ID_e27a31ff3463c72d48d70d2f5d73e8dbd0ffa543632136008240d03589ed008cffa2bf0e4340ba58701e5ad05e017d0b4aca2387e32aff305559c9cb0620902d,2022-06,0,14,8,1,32
ID_eb0f60a621ed8237d8e967201cb45bb170a226ee4c7d5a5b499a2488cc5fd1bb670b5e0e6baf7605e64030ecc2b45c7c09a177729d2796bbf3ee7ecaf99bd0db,2022-09,0,10,6,1,30
ID_f177fc0f48ad85e616e24d228f27b8c6239f6abe4a2376ed05692ec7c0857261feb84ca8e22493d29258442dd7f40c9c53ec80df52c900ceb4c453fdcc4b1de4,2022-03,0,15,10,1,42
ID_f295f18870a93ed73a532f8fba5a318bbbe99c187851caf3df89d3d0c2d98a3d3e5a55b8cafea19ced2e15437d8999d12200ebdc14e55fa7c8238b29652cbc08,2022-08,1,7,11,1,22
ID_070b54743008cfe9f5392a4ab5c886a93e623881ab1d4f6260c4a3e36e21175e846ad2112deb36207a27530cdd7c08074b1fbacffce41c534da6c7fb6c2e7ef8,2022-07,0,8,8,1,34
ID_0cf2cd7f7625b5646b536a73d6ff334345d67afd954d330feaaddb98f5c899138eaa9dc6bbefd75d85a3abc918a82de19a6d83b558652ea3795ae3289d31cb2f,2022-05,0,5,4,1,34
ID_1264c1e869557d0eea35ec6f0944f8da89216928a9eb8ee28d508b1e1a17b6255ac9bdfaed7c21d07b50f24e96edaea842dec82af71b81a9e1eb312e283cb749,2022-07,0,13,11,1,30
ID_13e2366f79f75b358d3fe16418089e76bc02ec1f8ec8518ae0c37276b41dd111b2177c4441ca7692fed4898cc8674b39ffad15ad1ff3a36801f6bf0ad75c2055,2022-07,0,15,6,1,36
ID_1804212c848db8ff43e1d1201449c038ad47fd6257d3fe7ca83f5024286380b9e92ffb500d11e771d72c704b965481473af692b8ca01b750cc8ff49c8ae41e94,2022-08,1,7,13,7,62
ID_1e82d459d33d9e326a8764f880ea7986bc3e60f3590a4c1f0c9d0874cd1a5bb9e3e1cd664cb33958988fb09ff9a4b932df5d36312c31a7cb44c565a886d0e2b8,2022-08,1,5,5,1,36
ID_21b1baf0ac1f4dcca919672a79cf010bbc5c09b1a148962242ad93959d10e8ae3c4da18f32b54ceb71b264a094aba75f5104195b8d964c4c7305778ed5f4ddaa,2022-08,0,6,9,1,31
ID_23e6cc645ce45b58e0779c83f311c112e1b8c7283d6090b731195e3f42eb6499fe3c41a7da7b758ffd6a6e86392afad53c3e15ee6983732672e2e805ae07c201,2022-07,1,7,8,1,34
ID_2583f11df2800418b7e7dd1159938e08b64b221cf34f1c92d4f131cfb65c9ca7de69c6a55a57c6b3b850001b043d478375e49142dd56b3aacb4ff80b993b2f94,2022-07,0,6,6,3,21
ID_26bd93bec53aec2453b9a210086bdea7ece9e040c7a20a8db5ae5b31e1ae73cb3455c351c180b5a36d99e9b032b85a9ab327c1a376cf84d56d3daeca80539357,2022-05,1,12,12,1,51
ID_276473f1b580b30e6b602027c242a21576b59e5159ae2f807fe31f6c53f85e7d1700a78079d84b5931957145582fc5e880b9d1fc3a12e635843b9ba6b2d7b78b,2022-09,1,9,5,1,22
ID_2a428eb303b832b95db43d3ea9496b6d20df798a5ff49ed204cc6cc9baf7932e37073dba2864a07ec25358369bfa5382bb5783c0145bdcfe4831a3bd2dbd4ed0,2022-09,0,14,11,1,43
ID_3435aa16760a2f92c693c7a6d6c4ce22ee8c89a4ebf21c0fa7a8efdf34fae6e7a52389cb6527264bd29f6ad1eb9a2ecc4b7aa82278348628931daf203aa86eff,2022-05,0,12,5,1,27
ID_35b26ea341f36167eedc569e129c14f3c75339f9531c07fdf074bb6dffcf8313f81ea077b3e5a10dfe0c35336e3eeef8079de117920bfa357565ad740438ec24,2022-06,1,16,6,1,25
ID_36258029485b566d4143fc15194a7ac1f0b3d585f7e2173578cf9aa2a89145eec758fbbfef59b158c6abc7205f96242a027ded60ab9344403613e020ba5649bf,2022-06,0,13,7,3,38
ID_371db0b9f8ffd52fd360d2aad91ec4c192ae88d75da63c0b896f31cf5bcc1359cdfc685985efa3a18403e7d98bbd90ac858173af7ac4336d2acabea1d3c5ab0b,2022-07,1,14,17,1,25
ID_37854866c022412f398ee173a612de1443414ff8100fc35bf08822f642590496cab968e955f262e63199e1d274b0140fd43e6e6b066bc5bfcd24d8f9a2f80cb6,2022-06,0,6,4,3,18
ID_390bb6e31f3e907a6a69865ae983899ddc86b89ae245db42a10347501a4a4c571d10dbe8736fb7392b2f9be37f40b73713b759f33802248c08b42c9bc299d7cc,2022-05,1,16,7,1,30
ID_42a1e9f53c65fb7da8849cf7baf4d1149fe7f0067ee29a56cc55629b3cf7e63314bfe9c93402f3ea29c81cc6ca007ddf786cacf193e45c0cdb87dd9c8e58b6df,2022-09,0,14,14,1,31
ID_42e337c6242f49d4b193ccbae5845cab285a7e5bbba6ede315f72b1d197534d1d994e71c106cfe8f6013ef565ced7da675ff86b9c4d2073a401faa7888f2f13b,2022-08,0,13,6,1,40
ID_458d720d437ad5b38464a21f5ae93f62e672b67e1de20568f8b94b7bc61f70b45185224bea1c1ea2a5c76b470fa7696bca514a7d658054a5334f71bcb0c8be90,2022-07,1,10,11,1,51
ID_4d81370db832459a565a6fceca4b7fcc8079d8e2bc1d3cc24347738a3d3006969c4ebf8cf3b88f5ea404cb5df2d1434c2e3792e2913ebe4009b398ca147f377b,2022-07,1,14,5,1,27
ID_53fd966ed3eafde72228de17998ecd769bb03251dc945d4264501509e50f3c7504077aae4065106fe8559aeb4676241fc27a17671d6b76a98aa2877fb9485b5d,2022-06,1,4,6,7,72
ID_54f02b6e98126b52c510803e635b93d40a2eaf9328dd04ede291901823b011e79bf18220071f517dffafbee0523d5f2a965fb6907f9bdb6788c651b07a67ab24,2022-09,0,14,7,1,32
ID_59ed1b7c999667c55f7dc585f705d5bdf013509f9729bc3645b98fc4c235edab1474c7f35400336794fc59efa43b9023dfebc5057d3a050a2816997f2ed6aab1,2022-08,1,10,5,1,38
ID_5a6e0d83e1fba51a73fc62712a7534bcbdd956dabd680051443e28c1fed03ca9e7d49593f2aea6876b199712b365995d65aa4d7454e8fc5c824fef89e76008f7,2022-06,0,11,3,1,42
ID_6a3fd22c78ecfd9dbeac7467461d1ffe80fa40d6b4ea681c4cc0ba887e514b132e20631e8d0bce2955a7bf43bfc6ac697ada84cd10c79e3ee44d1b369bfe5841,2022-07,1,15,10,1,55
ID_6cd078f73e2efebec428582d241fda9a33de08a638f1d8c7b78037eefe173defb88501a430a39eeedc39c47fd743103170492e3c0883a8021b6b56f64a620ac2,2022-08,0,5,7,1,44
ID_70e939b98556a5998983bc4bde1f27f24827bd192a89043f32b4819467f4d84ebd55b90fc96bd4bb42588246fa3fa337608d94953a740cc3563177e271c56094,2022-08,0,10,5,1,22
ID_760fd67049b737cd17382f0441ca61bf398abd3119adcdc0c41dc71439d1841a098b6767a1729364e56c4193f222f6232d3f9a4040c3191947e44bb14daab44d,2022-09,1,6,6,1,34
ID_7efab270ad3520a9775ebb21ebbd61259e90eee26b9ec63984f822f81dc67056dc744ae642b91b7aae21d70dba6a74b4aa2fb86dee59c62b50cc8d9fe4ba9887,2022-09,1,14,12,1,22
ID_7ff6e205af42add89f949365ec2045f569586dfa2ba9254c4652fab87251636bc60d61b2b96eb771f6b8f475bbe69d210bd33502077946254bd9bbcee2d48712,2022-08,0,6,9,1,51
ID_8883765718ad5e4a9fd73d1bc9b12b4ea8ee2542e15c7dbac0fb0d013f62422f628df47a89598b3a564d73fe7f74e10a4e7a6aa879beb4552734940903649e3d,2022-06,0,9,8,1,34
ID_8d6391a4f6ffc839af305f9bcacea9d4758365da36d104ab70c934a2a0a8d7d1aa2eea121699f956c88c6f27b78161d838a477b2eac91494b2b4c33833f1f857,2022-09,0,14,4,1,22
ID_940ed92ac4c37193fd3f0a67b515cbb250f79b0d88a790cf47304a804655b025dd1a37c1eeb24a80c8d92137bc07d6c6abcb5335020bb13ba60bd9a7e934a719,2022-08,1,16,10,1,34
ID_954787aa8580caed41f41dc4ff700fe81cf720efc97ccbed02f5213af16094443e2cd0f4f1d9fe4e859820c62e7e2e990c37a7641b5310c1f7b758f7e059cb62,2022-07,0,12,8,1,33
ID_9c6f2d1efde98fc47d5e4216ca2e51c3579dae217cda69022e6bf0f5c2ec9f8f5eae19ffed75bcb7f835d5f78da205cbdcfa6f41dd98928b07c376eadc0b763b,2022-06,1,6,11,1,28
ID_a44a0d19f55b8f9c1ee6bd5f57932b4217513ec2ecf80e544e1ebbef04ed050135ceb9473aee82edafc67768f384b37c95f485cff420242fe5e7b6217c26c147,2022-08,1,15,14,1,25
ID_a617bcacf0f414e2a3f84f983583afec6366eaaa0b7cfdc242bbe9d94025bbafef4f074145160d4ede9a17c7a14d4f6d92405f6eb73caf6f03876386eed78510,2022-07,1,10,13,1,31
ID_b75e8bd6e345f48c8ec80a0394236d8ca6e2bad985bf1c125ea41691014cd1172b36efbe52947222acbec47e4b36a5b1b77de3fefc0cd33ddc8696644adae594,2022-07,0,6,7,1,23
ID_ba3ab17b076f5cd4eaceb56220b4136a64a4a2bab5f2c8cd5f94d8195f35a27ba82af0ca05d70d0f7c7045e48ff6d90e70b57dd48e0bc5d99674f5c67fa865c8,2022-07,0,4,3,7,69
ID_bf71f9e86f1e7b424b512fd700ec6a7ff2ac3d3ebeac1518213ce1ada4c5ce80a819873ddfcd8d8837dba0fac065262f08aa8f9f5f9738781e9f27caa77c7195,2022-09,0,11,17,1,32
ID_cd84ee46ad4636e518a077498566345a0cff8faf307b7358029b3a0487cf3cef6c64746197ae427e7b1b18c171ef4e2272a323bd2e74080f93130b603f829eb6,2022-09,0,8,7,1,26
ID_d008cfbd6a207fbefd51b79f505f616d313e0f6637ce99a29f81a66ca1716342c163fb2accef4d9e678d91363db4ae63d907450736db01ac5633c506067b3fb2,2022-09,0,13,12,1,33
ID_d03c0a295d4295c9f117556f214b2d1c3ece363da5e8e0adff8cb372691f60f6f614eeb76a6f197d285d74d7e0f8ab0af5b6a63d4f6bc845dc2a9b325d059913,2022-06,1,8,6,1,47
ID_e1a7ddaf93b8a49ec802df4e17473c75282efbeae7ec257b41fa093fed57e32e8970443b70a76f3b04df332e4d26f95cdc8703587f2c9b57619b46db9752b665,2022-08,1,15,7,1,45
ID_e3927f627ab64fa67b23e3266e892aa83d664983bd325605508328f456ef8bdd0216713382c40f3e9f22e02d186047abcaab598a113d62c83d5b729e8325ae5e,2022-08,0,16,11,1,33
ID_e9f7ea78ab4d7e0a2e1f60d7b166fdf6a6b36e6f539da824894d2cbb4baa237bba98470d8477300a2cd663f16bd6b8a3873662831c593327751c86ba74d3eea3,2022-09,1,14,5,1,38
ID_ed046b9c0211910fed5e2fb6484fb327f38a8f099c23b11b754155191fdf3e55e291dfbe6acd287e059d894eae0ed283041741d72657597974e30df0f0a152ff,2022-03,0,12,6,1,21
ID_ed1b6c3169633fe883ce20a0e1e8f1c12a3ff50700fbb47e86d9500092802d59a6cc64fb2631251610bb15c7a43db437d4e9f8677148404138be50b083d4dad3,2022-08,1,10,6,1,25
ID_f6c2b5b4f57ef66b234df7922f2f8aaeb013d1b222697bbfbbdf858e3b607c6edb2d492d711ad5766234832e4cf2221b410e1eee8d3bebf81a96527bd5fb2bb2,2022-09,0,7,2,1,20
ID_0406be8b86460b7c493910ce3d7fad4b7b058b85bf2856a8a0814f7f3b76d015ed55d6c76d5fc070c431161d6a0b4e83b1037f0097638798e6f46126cccb77c8,2022-05,0,10,6,1,36
ID_14ca1d3cc0e9b2aca2b761f0eddf9f310d2c34c4f15b0a53f47ad259dcf4c28aeb2444b909d32ad51955bdcc785a0d584019d162276dcc2616b47298bd86288d,2022-07,1,10,14,1,33
ID_45aedc3dfe604bd4e870b58dd24d6572eede6c51531d40a13200dff4c634eec04fbbd7d069852b328cb49084bf0675c5e2c5d5dcc96b30f2aa9cab97dbb363db,2022-08,0,12,7,1,30
ID_4bd8d90b37d5fd16719065e5d141efe1e64fc86ffaa90a1e91815c591db134165125ca3f987cca2fb5d95d416bf33f4da2ab7fe5c4fd63faa2bdfbeca5b280cd,2022-08,1,7,7,1,21
ID_59a4245d5df5b8146eac491d274279f8bc9f781a85f7cf8fb19dbe7fa072b23e81cf7ebe1337c5e2704e2eb95730a06b9c327b9c6366f252ee4795646c39c76d,2022-03,1,10,8,1,27
ID_5c89c8a217a3a2235813b321152dcb202bd2d05c3fd4ab5b5f288db8614e8ebd709e004469b4d7027be7104a1c0756146c352b43f6d73d1cb1c71fd8db1132f7,2022-08,0,13,11,1,38
ID_5e52d84325724d5fa25750b727a03fe9f4f0ba7dd6bdbedfa58a8f43e5756a77d9505575b5e73cb1f65d796a1b87a46b2e7da3b6aa0200e99e835447452a2427,2022-05,1,13,11,1,40
ID_5f8966fdda112e5a127855d3440925337aad39db930fbf92da12f43df5068c24a82f30c2ebadf4bd51a423403960b2ab4363ab27732c033e194fbebf870390ae,2022-09,1,15,8,1,26
ID_5fd675c2a72d8027b2fa15d67e84b85f9b727a7f7ed1eed8574a09891e88b60937a422b94bef8f2bfbc4bd25ac14188ddad1173649656539fc378624646dd6f1,2022-08,0,7,8,1,30
ID_61d90e5770732dcefdba3dada514505a8abcabbf5f5fa22751030dbc5e43688884a2e9c6169900779d7df83a89c0ced1820217d6191c6d21bbf1eb43bac60cb6,2022-07,1,14,12,1,37
ID_64018748bc34b4b1d2f964fea838c87728acb8652856476e46819680dee88c25998ab65b0ed02a5b437e8b04033d8160bfa3339db46444eb80552c9004931142,2022-08,0,16,12,6,16
ID_6810320400bc532b02d45aa6047772b7737626b932caef5cd35cdda326784b2696914b516b8ce28d21e7987f3ad692310ac37b9140835817dcbc48c63b77b46f,2022-02,0,8,4,1,31
ID_702f10a1ac27acc60e473edfa6d49816542baccc6d24e89db77c495ad0ffbf390fcca3abdce537adc65dbb3613bd20d17d5c2b9774ad32c90b0f04f16063b022,2022-05,1,11,9,1,28
ID_78827067a2664ed0353d54594ba73261c0713513a98bee74d7e3bed61f411ca38eb7e14d1969ddf1680aeec20091af186dcd5e509d49ab7c3c94f7cb6823645c,2022-06,0,10,8,1,45
ID_87d4158234d2e651377ee8f6a984ad428ff9b0a15a395b7e30c2bffcd65afe080627e1568a5153534ba0abe16baabaf9f910f211eb38fba17b7d48cf7afce890,2022-09,0,13,17,1,39
